optimizer_update_step,tau,parameter_distance,latent_distance,online_min_std,target_min_std
7140,0.9991999103541013,0.021373050287365913,0.0028913470450788736,0.09875991940498352,0.09851262718439102
7259,0.9992532496638279,0.02911330759525299,0.013691894710063934,0.10005775839090347,0.0985390916466713
7378,0.9993065889735545,0.05368379130959511,0.003035828936845064,0.09888862818479538,0.09855739027261734
7497,0.999359928283281,0.051649000495672226,0.002094696741551161,0.09873427450656891,0.09857334196567535
7616,0.9994132675930076,0.049228083342313766,0.0021576974540948868,0.09880294650793076,0.09858942776918411
7735,0.9994666069027341,0.04783228412270546,0.003753476310521364,0.09907951951026917,0.0986049547791481
7854,0.9995199462124608,0.054109591990709305,0.012714150361716747,0.10029102861881256,0.09862007200717926
7973,0.9995732855221874,0.07005181908607483,0.006448079831898212,0.09806453436613083,0.09863011538982391
8092,0.9996266248319139,0.06996286660432816,0.0025492736604064703,0.09888259321451187,0.09863901883363724
8211,0.9996799641416405,0.06877388060092926,0.002523495815694332,0.09889815747737885,0.09864777326583862
8330,0.9997333034513671,0.06832528859376907,0.002380108693614602,0.09886569529771805,0.09865547716617584
8449,0.9997866427610936,0.06874503940343857,0.004479491617530584,0.09917993098497391,0.09866217523813248
8568,0.9998399820708203,0.07138609886169434,0.009341404773294926,0.09923871606588364,0.09866735339164734
8687,0.9998933213805469,0.07714519649744034,0.007614425849169493,0.09874340891838074,0.09867073595523834
8806,0.9999466606902734,0.0838676318526268,0.005422485060989857,0.09920255839824677,0.09867242723703384
8925,1.0,0.08702176809310913,0.0023767142556607723,0.09877011179924011,0.09867280721664429
