epoch,global_step,learning_rate,generator_learning_rate,L_total,L_K,L_generator,L_multi,L_rec,L_forecast,L_var,L_stability,L_physics,L_mass,L_operator,val_rollout,val_reconstruction,val_mass,val_operator,epoch_time,samples_per_sec,peak_gpu_memory
36,4284,0.001,0.005,0.00039425196277628104,9.997339398381805e-07,0.0001199427508504534,8.413952934061714e-05,1.890461540276033e-05,3.289528494908982e-05,0.0,2.305979458748769e-06,1.2000204093397462e-06,5.420558667833936e-06,5.795433788647951e-07,3.4861182194574556e-05,7.269171363164094e-06,5.638875718107426e-07,3.326853478332244e-07,24.937789121991955,151.57719000304326,2906962432
37,4403,0.001,0.005,0.0003464577171678049,9.516645630755332e-07,0.00010949348664051661,8.011404725183393e-05,1.1930075954065643e-05,2.584219312921435e-05,0.0,1.1705873815131666e-06,1.2287343879873734e-07,2.1343036782056476e-07,4.0093682617312185e-07,2.8820175516773904e-05,1.0428819240630782e-05,4.1336999567236145e-07,3.8150501252078226e-07,25.01095521892421,151.1337718576983,2906962432
38,4522,0.001,0.005,0.0003363628476296389,9.212378748006861e-07,0.00010583156994827309,7.756964416580678e-05,1.1704100769646982e-05,2.5433258312260337e-05,0.0,7.816073580263864e-07,1.1786983843492674e-07,1.9523557131843136e-07,3.941136208562023e-07,2.2056193925631565e-05,1.691214811650016e-05,3.0219014693752146e-07,4.971267642195883e-07,24.691610320005566,153.08843574845255,2906962432
39,4641,0.001,0.005,0.0003302113418516619,8.955385170030582e-07,0.00010379041556180233,7.536541123131645e-05,1.1811568710693372e-05,2.5499831946232853e-05,0.0,5.527441227473015e-07,1.164921899972705e-07,1.8594390528854637e-07,3.965170446978061e-07,2.008597318871623e-05,1.7651805310812224e-05,8.399688387801992e-08,5.076553672248944e-07,24.901300000958145,151.79930364497253,2906962432
40,4760,0.0005,0.0025,0.0003216268331497395,8.696845632719622e-07,0.00010182156371354328,7.317865999765379e-05,1.1290701673407398e-05,2.4925896436870392e-05,0.0,4.5116968854089794e-07,9.995164403758834e-08,1.1823313691762912e-07,3.8152508327031257e-07,2.3626392759892735e-05,1.5744025239698766e-05,1.7843557884589245e-07,4.789533285193535e-07,24.885282233939506,151.89701143291396,2906962432
41,4879,0.0005,0.0025,0.0003153949065279294,8.512541540242892e-07,9.993964822521857e-05,7.164426490254256e-05,1.1012649989790695e-05,2.458308162102993e-05,0.0,3.341391030822687e-07,9.059606001107001e-08,7.871830925981437e-08,3.7426199079553566e-07,2.8312350609450644e-05,8.561595461201033e-06,5.068148438914206e-08,3.3582642312727073e-07,24.979670288041234,151.3230541641551,2906962432
42,4998,0.0005,0.0025,0.0003120262629756576,8.394536149791276e-07,9.879774828078028e-05,7.065816576994226e-05,1.096773826849472e-05,2.4508006948741797e-05,0.0,3.2273293444386727e-07,8.896383838144551e-08,7.233767434697002e-08,3.724815175602575e-07,2.8690586761859733e-05,8.349027995704785e-06,5.820327485581277e-08,3.3298404375836115e-07,24.539166695903987,154.03946054251907,2906962432
43,5117,0.0005,0.0025,0.00030914135215675864,8.266432825534831e-07,9.818710816381055e-05,6.96269272276565e-05,1.0902696900187054e-05,2.4475469526516952e-05,0.0,2.688830472870616e-07,9.052240914666216e-08,8.173426354965062e-08,3.708777821836602e-07,3.0495572580201994e-05,7.139672869102686e-06,1.8275445322148342e-07,3.1322029810455983e-07,26.605064424918965,142.0782126150222,2906962432
44,5236,0.0005,0.0025,0.0003062687452362663,8.154308071430288e-07,9.731943006122179e-05,6.863830378433078e-05,1.0887932215169596e-05,2.448315153646199e-05,0.0,2.3867694931285523e-07,9.124260536339982e-08,8.532603548819342e-08,3.7088699132880564e-07,2.6582410265248092e-05,9.799093537107442e-06,6.427638778899471e-08,3.5712106924144057e-07,24.818400654941797,152.30634933147203,2906962432
45,5355,0.0005,0.0025,0.0003033163352430892,8.036235449349825e-07,9.65385719186444e-05,6.763438631659718e-05,1.0878280093411424e-05,2.4418733845724817e-05,0.0,2.1732002900770802e-07,8.960737489883046e-08,7.721900154456186e-08,3.708178729495904e-07,2.3802467937154384e-05,1.17539226439909e-05,3.529659871471749e-08,3.916694411254e-07,24.690420140046626,153.09581524167865,2906962432
46,5474,0.0005,0.0025,0.0003001701025780113,7.913770041244952e-07,9.580282975639901e-05,6.661079231114989e-05,1.082701195695403e-05,2.429494104550156e-05,0.0,1.9908600544117955e-07,9.049483532073533e-08,8.295777012072284e-08,3.6951640648295376e-07,2.6887764518808885e-05,9.49230437808659e-06,7.983148151424757e-08,3.542554896371474e-07,24.698156481957994,153.04786018184353,2906962432
47,5593,0.0005,0.0025,0.0002973937735308908,7.786682271885593e-07,9.509455222450443e-05,6.555159180948668e-05,1.0841610026391834e-05,2.4313843509868506e-05,0.0,1.8829362665605407e-07,8.763216292347457e-08,6.817035874349578e-08,3.6999045587387706e-07,2.365068278214451e-05,1.2738772134720681e-05,1.1869875329412458e-07,4.1215831878443646e-07,27.22526510397438,138.84162323356736,2906962432
48,5712,0.0005,0.0025,0.0002945552113011391,7.667484310115383e-07,9.428958186637068e-05,6.456187621797508e-05,1.0856371052257061e-05,2.42767555998095e-05,0.0,1.6447952698134937e-07,9.242890112343755e-08,9.140977994243571e-08,3.7073472567475203e-07,2.518232403894044e-05,1.0304381118787984e-05,1.4089119282462413e-07,3.62465261462473e-07,25.409994695102796,148.7603616355146,2906962432
49,5831,0.0005,0.0025,0.0002921024740398886,7.543076942547197e-07,9.369835227964416e-05,6.347742749278916e-05,1.0956689512236081e-05,2.4336055013350834e-05,0.0,1.4741873870763002e-07,9.473105953617129e-08,1.015231327351608e-07,3.721321649456956e-07,3.144424419068465e-05,6.960726525340717e-06,1.4948946171515553e-07,3.122895139183259e-07,24.923531622975133,151.6638996905038,2906962432
50,5950,0.0005,0.0025,0.000289080207077195,7.416320916793968e-07,9.279690655786052e-05,6.244735992156344e-05,1.096675333481654e-05,2.4302455077068536e-05,0.0,1.3189719704203804e-07,9.534081122996376e-08,1.0459079194165329e-07,3.7211326420816554e-07,2.9168421938915603e-05,1.0363772599659915e-05,2.7092875935100633e-07,3.7478420695368274e-07,24.98167084797751,151.31093604597808,2906962432
51,6069,0.0005,0.0025,0.0002879309298275975,7.289896605774022e-07,9.252163688572144e-05,6.141314831520455e-05,1.1250375380903413e-05,2.4619328719117216e-05,0.0,1.1838812248416139e-07,1.0275837608648144e-07,1.356429763553351e-07,3.7814890407707214e-07,1.7991095652784377e-05,3.4624295810880584e-05,4.57392484539317e-07,8.687318673613238e-07,24.930843274923973,151.61942010208747,2906962432
52,6188,0.0005,0.0025,0.00028574483182094003,7.145766678977501e-07,9.198943260815685e-05,6.013929307406581e-05,1.1572276004203583e-05,2.4750150361950828e-05,0.0,1.1584003763040547e-07,1.0580069647583891e-07,1.4198465140168837e-07,3.8701883097750606e-07,1.985191829589894e-05,2.1061796308328796e-05,5.963405530485218e-07,5.729276798168333e-07,24.46612797200214,154.4993144941304,2906962432
53,6307,0.0005,0.0025,0.0002986061559231193,7.053069419237511e-07,9.284889994271681e-05,5.931986880669784e-05,1.5022219072282992e-05,2.8062910405905404e-05,0.0,1.1322502855340231e-07,2.3063047920413495e-07,6.821192471607617e-07,4.7103314885991313e-07,2.7203406664609377e-05,1.6382016874991852e-05,7.587773219646416e-07,4.976554467226552e-07,24.07814643799793,156.98882842720607,2906962432
54,6426,0.0005,0.0025,0.0002850502276689642,6.881298864218527e-07,9.072323774157594e-05,5.799030394492937e-05,1.2844027040325162e-05,2.5907126793138334e-05,0.0,1.0119728289492879e-07,1.4582761661048363e-07,3.125337221858081e-07,4.1660436086661e-07,2.7084870834230624e-05,1.21021960391469e-05,8.860050970142873e-08,4.088264228401039e-07,24.555088298977353,153.93958083048008,2906962432
